branchName, type_Run2
HLT_CaloMET350_HBHECleaned, Bool_t
HLT_CaloMET70_HBHECleaned, Bool_t
HLT_CaloMET80_HBHECleaned, Bool_t
HLT_CaloMET80_NotCleaned, Bool_t
HLT_CaloMET90_HBHECleaned, Bool_t
HLT_CaloMET90_NotCleaned, Bool_t
HLT_CaloMHT90, Bool_t
HLT_DiEle27_WPTightCaloOnly_L1DoubleEG, Bool_t
HLT_DiJet110_35_Mjj650_PFMET110, Bool_t
HLT_DiJet110_35_Mjj650_PFMET120, Bool_t
HLT_DiJet110_35_Mjj650_PFMET130, Bool_t
HLT_DiMu4_Ele9_CaloIdL_TrackIdL_DZ_Mass3p8, Bool_t
HLT_DiMu9_Ele9_CaloIdL_TrackIdL, Bool_t
HLT_DiMu9_Ele9_CaloIdL_TrackIdL_DZ, Bool_t
HLT_DiPFJetAve100_HFJEC, Bool_t
HLT_DiPFJetAve140, Bool_t
HLT_DiPFJetAve160_HFJEC, Bool_t
HLT_DiPFJetAve200, Bool_t
HLT_DiPFJetAve220_HFJEC, Bool_t
HLT_DiPFJetAve260, Bool_t
HLT_DiPFJetAve300_HFJEC, Bool_t
HLT_DiPFJetAve320, Bool_t
HLT_DiPFJetAve40, Bool_t
HLT_DiPFJetAve400, Bool_t
HLT_DiPFJetAve500, Bool_t
HLT_DiPFJetAve60, Bool_t
HLT_DiPFJetAve60_HFJEC, Bool_t
HLT_DiPFJetAve80, Bool_t
HLT_DiPFJetAve80_HFJEC, Bool_t
HLT_DiSC30_18_EIso_AND_HE_Mass70, Bool_t
HLT_Dimuon0_Jpsi, Bool_t
HLT_Dimuon0_Jpsi3p5_Muon2, Bool_t
HLT_Dimuon0_Jpsi_L1_4R_0er1p5R, Bool_t
HLT_Dimuon0_Jpsi_L1_NoOS, Bool_t
HLT_Dimuon0_Jpsi_NoVertexing, Bool_t
HLT_Dimuon0_Jpsi_NoVertexing_L1_4R_0er1p5R, Bool_t
HLT_Dimuon0_Jpsi_NoVertexing_NoOS, Bool_t
HLT_Dimuon0_LowMass, Bool_t
HLT_Dimuon0_LowMass_L1_0er1p5, Bool_t
HLT_Dimuon0_LowMass_L1_0er1p5R, Bool_t
HLT_Dimuon0_LowMass_L1_4, Bool_t
HLT_Dimuon0_LowMass_L1_4R, Bool_t
HLT_Dimuon0_LowMass_L1_TM530, Bool_t
HLT_Dimuon0_Upsilon_L1_4p5, Bool_t
HLT_Dimuon0_Upsilon_L1_4p5NoOS, Bool_t
HLT_Dimuon0_Upsilon_L1_4p5er2p0, Bool_t
HLT_Dimuon0_Upsilon_L1_4p5er2p0M, Bool_t
HLT_Dimuon0_Upsilon_L1_5, Bool_t
HLT_Dimuon0_Upsilon_L1_5M, Bool_t
HLT_Dimuon0_Upsilon_Muon_L1_TM0, Bool_t
HLT_Dimuon0_Upsilon_Muon_NoL1Mass, Bool_t
HLT_Dimuon0_Upsilon_NoVertexing, Bool_t
HLT_Dimuon10_PsiPrime_Barrel_Seagulls, Bool_t
HLT_Dimuon12_Upsilon_y1p4, Bool_t
HLT_Dimuon14_Phi_Barrel_Seagulls, Bool_t
HLT_Dimuon18_PsiPrime, Bool_t
HLT_Dimuon18_PsiPrime_noCorrL1, Bool_t
HLT_Dimuon20_Jpsi_Barrel_Seagulls, Bool_t
HLT_Dimuon24_Phi_noCorrL1, Bool_t
HLT_Dimuon24_Upsilon_noCorrL1, Bool_t
HLT_Dimuon25_Jpsi, Bool_t
HLT_Dimuon25_Jpsi_noCorrL1, Bool_t
HLT_Diphoton30PV_18PV_R9Id_AND_IsoCaloId_AND_HE_R9Id_NoPixelVeto_Mass55, Bool_t
HLT_Diphoton30PV_18PV_R9Id_AND_IsoCaloId_AND_HE_R9Id_PixelVeto_Mass55, Bool_t
HLT_Diphoton30_18_R9IdL_AND_HE_AND_IsoCaloId_NoPixelVeto, Bool_t
HLT_Diphoton30_18_R9IdL_AND_HE_AND_IsoCaloId_NoPixelVeto_Mass55, Bool_t
HLT_Diphoton30_22_R9Id_OR_IsoCaloId_AND_HE_R9Id_Mass90, Bool_t
HLT_Diphoton30_22_R9Id_OR_IsoCaloId_AND_HE_R9Id_Mass95, Bool_t
HLT_DoubleEle24_eta2p1_WPTight_Gsf, Bool_t
HLT_DoubleEle25_CaloIdL_MW, Bool_t
HLT_DoubleEle27_CaloIdL_MW, Bool_t
HLT_DoubleEle33_CaloIdL_MW, Bool_t
HLT_DoubleEle8_CaloIdM_TrackIdM_Mass8_DZ_PFHT350, Bool_t
HLT_DoubleEle8_CaloIdM_TrackIdM_Mass8_PFHT350, Bool_t
HLT_DoubleIsoMu20_eta2p1, Bool_t
HLT_DoubleL2Mu23NoVtx_2Cha, Bool_t
HLT_DoubleL2Mu23NoVtx_2Cha_CosmicSeed, Bool_t
HLT_DoubleL2Mu23NoVtx_2Cha_CosmicSeed_NoL2Matched, Bool_t
HLT_DoubleL2Mu23NoVtx_2Cha_NoL2Matched, Bool_t
HLT_DoubleL2Mu25NoVtx_2Cha, Bool_t
HLT_DoubleL2Mu25NoVtx_2Cha_CosmicSeed, Bool_t
HLT_DoubleL2Mu25NoVtx_2Cha_CosmicSeed_Eta2p4, Bool_t
HLT_DoubleL2Mu25NoVtx_2Cha_CosmicSeed_NoL2Matched, Bool_t
HLT_DoubleL2Mu25NoVtx_2Cha_Eta2p4, Bool_t
HLT_DoubleL2Mu25NoVtx_2Cha_NoL2Matched, Bool_t
HLT_DoubleL2Mu30NoVtx_2Cha_CosmicSeed_Eta2p4, Bool_t
HLT_DoubleL2Mu30NoVtx_2Cha_Eta2p4, Bool_t
HLT_DoubleL2Mu50, Bool_t
HLT_DoubleMediumChargedIsoPFTauHPS35_Trk1_TightID_eta2p1_Reg, Bool_t
